trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,-63,-445.12770973339934,"{0: 56, 1: 5, 2: 18, 3: 2, 4: 7}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-55,-311.5613216332324,"{0: 47, 1: 6, 2: 14, 3: 5, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-100,-697.2068923811861,"{0: 75, 1: 6, 2: 30, 3: 4, 4: 10}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-100,-356.5318408738245,"{0: 82, 1: 9, 2: 23, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,-59,-466.8700784555744,"{0: 59, 1: 4, 2: 14, 3: 4, 4: 8}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-100,-430.36343319551,"{0: 80, 1: 8, 2: 23, 3: 4, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-88,-427.4251176594673,"{0: 77, 1: 5, 2: 21, 3: 4, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-6,-33.70458773954053,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-7,-148.03652981137242,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-86,-251.8267484569242,"{0: 86, 1: 8, 2: 9, 3: 3, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,-7,-53.653633101425406,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-23,2.325891307069976,"{0: 41, 1: 0, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,1,-36.23953477150752,"{0: 30, 1: 0, 2: 1, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,15.689529793201736,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-13,-100.31385499456573,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,13,21.32148951334495,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,7,1.6777058318061653,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-4,17.991776305612746,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,-2,1.8218614840710068,"{0: 30, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,3,-11.912477006878298,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,6,12.943917787242869,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,13.53414657676613,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,10.90466314477374,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,2,-37.46717050701868,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,15,17.033810999582144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,5,24.71174254448782,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,27.18232490345688,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,17,16.585196237806443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,9.766938227349133,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,-9,-30.48316627717616,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 2}",0
